pt,pt_low,pt_high,pt_err,rgamma_nominal,stat_nominal,syst_down,syst_up,total_down,total_up,rgamma_mean_variations,rgamma_std_variations,n_variations,syst_ecore,syst_pt,syst_eid,syst_chi2,syst_escale,syst_fit,syst_conv,syst_other,syst_ecore_down,syst_ecore_up,syst_pt_down,syst_pt_up,syst_eid_down,syst_eid_up,syst_chi2_down,syst_chi2_up,syst_escale_down,syst_escale_up,syst_fit_down,syst_fit_up,syst_conv_down,syst_conv_up,syst_other_down,syst_other_up
0.9,0.8,1.0,0.09999999999999998,0.9872843448181022,0.021690662876770166,0.6741233082311877,0.6741233082311877,0.674472178489665,0.674472178489665,0.8103626152669252,0.42114102067074854,15,0.005871685339292094,0.0061998787405023415,0.020260504914175317,0.0030500804398417795,0.0017139390235046997,0.14250222056185866,0.007854386412079448,0.0,0.0,0.011743370678584188,0.0,0.012399757481004683,-0.0,0.040521009828350635,0.006100160879683559,0.0,0.0001800182175882724,0.003247859829421127,0.2850044411237173,0.0,0.0,0.015708772824158897,-0.0,0.0
1.15,0.9999999999999999,1.2999999999999998,0.15000000000000002,1.1134052451204548,0.01966301471313556,0.6741233082311877,0.6741233082311877,0.6744100153824599,0.6744100153824599,0.8900112438464652,0.4439736966697112,16,0.011305347442344045,0.010770858012492852,0.016299482333228876,0.0031951185878709098,0.00040393704496888077,0.16070620449685896,0.011876825583690116,0.0,0.02261069488468809,0.0,0.021541716024985703,0.0,0.03259896466645775,0.0,0.0063902371757418195,0.0,0.0003758818569149814,0.0004319922330227801,0.3214124089937179,0.0,0.0,0.023753651167380232,-0.0,0.0
1.5,1.3,1.7,0.19999999999999996,1.0354381606117897,0.02041119528162334,0.6741233082311877,0.6741233082311877,0.6744322438862079,0.6744322438862079,0.8359967305934566,0.41538164080727713,16,0.0026193949211198346,0.0037891395892574484,0.009806157200435964,0.003830068505539142,0.0012998862116346975,0.14945262518960695,0.004631052152521071,0.0,0.0030833559358318073,0.0021554339064078624,0.007578279178514897,0.0,0.019612314400871928,0.0,0.007660137011078284,0.0,0.0,0.002599772423269395,0.2989052503792139,0.0,0.0,0.009262104305042143,-0.0,0.0
1.85,1.7000000000000002,2.0,0.15000000000000002,1.0135936092745466,0.031070508583951655,0.6741233082311877,0.6741233082311877,0.6748389520502105,0.6748389520502105,0.8198335542272039,0.4081708773909889,16,0.005167386356134517,0.0003935151786510463,0.016303496012740986,0.001414478830562402,0.004800765976707201,0.14629963579088595,0.006128769452058638,0.0,0.010334772712269034,0.0,0.0005559350365643853,0.00023109532073770724,0.03260699202548197,0.0,0.001500400000601879,0.001328557660522925,0.0,0.009601531953414401,0.2925992715817719,0.0,0.0,0.012257538904117276,-0.0,0.0
2.25,2.0,2.5,0.25,1.0717892075536417,0.03642270091442294,0.6741233082311877,0.6741233082311877,0.6751065455485248,0.6751065455485248,0.8600204075616498,0.42707456588001014,16,0.005187955133098473,0.0018013031151462343,0.004463525900263358,0.005847432846245012,0.0027146831753906736,0.1546994468739077,0.0037682046235386147,0.0,0.010375910266196947,0.0,0.0036026062302924686,0.0,0.008927051800526716,0.0,0.011694865692490024,0.0,0.005429366350781347,0.0,0.3093988937478154,0.0,0.0,0.007536409247077229,-0.0,0.0
2.75,2.5,3.0,0.25,1.0156690283112986,0.054231613017033775,0.6741233082311877,0.6741233082311877,0.676301192185102,0.676301192185102,0.8441502474623568,0.4207368248442891,16,0.012694367457256796,0.001474084690783546,0.01584579107064123,0.0047617589938797325,0.0033686645996346396,0.14659919672577348,0.006154728216827655,0.0,0.0,0.025388734914513593,0.002948169381567092,0.0,-0.0,0.03169158214128246,0.009523517987759465,0.0,0.0,0.006737329199269279,0.29319839345154697,0.0,0.0,0.01230945643365531,-0.0,0.0
3.5,3.0,4.0,0.5,1.15457828642616,0.08707076563555353,0.6741233082311877,0.6741233082311877,0.6797231443234241,0.6797231443234241,0.9750104325932849,0.4910181875963083,16,0.03679861912127761,0.0011052276146529445,0.03272746992772389,0.0070834861208453805,0.003931783136496115,0.1666490211171601,0.011405509002066312,0.0,0.0,0.07359723824255522,0.0006108117210827081,0.0015996435082231808,-0.0,0.06545493985544779,0.014166972241690761,0.0,0.002641781400558743,0.005221784872433488,0.3332980422343202,0.0,0.0,0.022811018004132624,-0.0,0.0
4.5,4.0,5.0,0.5,2.9630915432016898,1.137719075753857,0.8770212374631083,4.733398049479709,1.4365134688876162,4.86820930015879,3.63724245095929,4.550715945207041,15,2.345774329377824,0.019694103343081092,0.0,0.09101781532984472,0.070006000519166,0.4276854250252498,0.33853350455717807,0.0,0.0,4.691548658755648,0.0,0.039388206686162185,-0.0,0.0,0.18203563065968945,0.0,0.0,0.140012001038332,0.8553708500504996,0.0,0.06610589244187617,0.61096111667248,-0.0,0.0
6.0,5.0,7.0,1.0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
8.5,7.0,10.0,1.5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
